,annotations,class,filename,jpg,height,width,x,y
0,"[{'class': 'Head', 'height': 661.4783999999997, 'type': 'rect', 'width': 825.2927999999999, 'x': 340.0703999999999, 'y': 659.4047999999998}]",image,../imgs/whale_34663/w_7001.jpg,w_7001.jpg,661.4783999999997,825.2927999999999,340.0703999999999,659.4047999999998
1,"[{'class': 'Head', 'height': 362.9660479855138, 'type': 'rect', 'width': 488.12675418741514, 'x': 1630.2181982797645, 'y': 828.1466727025802}]",image,../imgs/whale_82089/w_1491.jpg,w_1491.jpg,362.9660479855138,488.12675418741514,1630.2181982797645,828.1466727025802
2,"[{'class': 'Head', 'height': 313.94477138976913, 'type': 'rect', 'width': 492.2987777274784, 'x': 1127.4893617021276, 'y': 644.5776369397917}]",image,../imgs/whale_89211/w_6480.jpg,w_6480.jpg,313.94477138976913,492.2987777274784,1127.4893617021276,644.5776369397917
3,"[{'class': 'Head', 'height': 393.2132186509732, 'type': 'rect', 'width': 320.20280669986414, 'x': 1050.306926210955, 'y': 222.1602535083748}]",image,../imgs/whale_95370/w_1991.jpg,w_1991.jpg,393.2132186509732,320.20280669986414,1050.306926210955,222.1602535083748
4,"[{'class': 'Head', 'height': 336.89090086011765, 'type': 'rect', 'width': 288.91263014938875, 'x': 857.3508374830238, 'y': 730.1041195110909}]",image,../imgs/whale_25878/w_9019.jpg,w_9019.jpg,336.89090086011765,288.91263014938875,857.3508374830238,730.1041195110909
5,"[{'class': 'Head', 'height': 368.18107741059293, 'type': 'rect', 'width': 297.2566772295156, 'x': 1710.5296514259844, 'y': 821.8886373924852}]",image,../imgs/whale_24458/w_1455.jpg,w_1455.jpg,368.18107741059293,297.2566772295156,1710.5296514259844,821.8886373924852
6,"[{'class': 'Head', 'height': 663.9725399728379, 'type': 'rect', 'width': 826.1808152105023, 'x': 2128.172571118152, 'y': 1786.4538046174732}]",image,../imgs/whale_29172/w_246.jpg,w_246.jpg,663.9725399728379,826.1808152105023,2128.172571118152,1786.4538046174732
7,"[{'class': 'Head', 'height': 144.75082524673212, 'type': 'rect', 'width': 142.91853631955837, 'x': 1584.929922005357, 'y': 837.3560397184372}]",image,../imgs/whale_65586/w_5937.jpg,w_5937.jpg,144.75082524673212,142.91853631955837,1584.929922005357,837.3560397184372
8,"[{'class': 'Head', 'height': 320.58183947680186, 'type': 'rect', 'width': 397.27605944732863, 'x': 1932.6943432572737, 'y': 1155.0149527561325}]",image,../imgs/whale_71062/w_6896.jpg,w_6896.jpg,320.58183947680186,397.27605944732863,1932.6943432572737,1155.0149527561325
9,"[{'class': 'Head', 'height': 516.2721430943097, 'type': 'rect', 'width': 652.380253546446, 'x': 2778.482806471194, 'y': 1417.4017019498322}]",image,../imgs/whale_69459/w_8352.jpg,w_8352.jpg,516.2721430943097,652.380253546446,2778.482806471194,1417.4017019498322
10,"[{'class': 'Head', 'height': 420.2843254384866, 'type': 'rect', 'width': 595.1471469712874, 'x': 2486.4266114444767, 'y': 1355.9538090789126}]",image,../imgs/whale_62939/w_5463.jpg,w_5463.jpg,420.2843254384866,595.1471469712874,2486.4266114444767,1355.9538090789126
11,"[{'class': 'Head', 'height': 346.6578742667807, 'type': 'rect', 'width': 523.0545801989922, 'x': 1273.1240515107438, 'y': 1151.9471839573116}]",image,../imgs/whale_36851/w_2866.jpg,w_2866.jpg,346.6578742667807,523.0545801989922,1273.1240515107438,1151.9471839573116
12,"[{'class': 'Head', 'height': 314.4463018791597, 'type': 'rect', 'width': 441.75870703023406, 'x': 1352.8860402800915, 'y': 542.9950773913292}]",image,../imgs/whale_48813/w_3496.jpg,w_3496.jpg,314.4463018791597,441.75870703023406,1352.8860402800915,542.9950773913292
13,"[{'class': 'Head', 'height': 464.64492878487863, 'type': 'rect', 'width': 567.8993574037406, 'x': 1544.12304616389, 'y': 704.0074678558769}]",image,../imgs/whale_34656/w_2440.jpg,w_2440.jpg,464.64492878487863,567.8993574037406,1544.12304616389,704.0074678558769
14,"[{'class': 'Head', 'height': 511.5787599752706, 'type': 'rect', 'width': 366.0838832850559, 'x': 1173.3457797597948, 'y': 577.286123641819}]",image,../imgs/whale_17785/w_1277.jpg,w_1277.jpg,511.5787599752706,366.0838832850559,1173.3457797597948,577.286123641819
15,"[{'class': 'Head', 'height': 328.53681833274254, 'type': 'rect', 'width': 441.1780131896828, 'x': 1159.2656304026773, 'y': 530.3522924514273}]",image,../imgs/whale_46974/w_9265.jpg,w_9265.jpg,328.53681833274254,441.1780131896828,1159.2656304026773,530.3522924514273
16,"[{'class': 'Head', 'height': 281.6029871423507, 'type': 'rect', 'width': 337.92358457082105, 'x': 1553.5098124019682, 'y': 788.4883639985821}]",image,../imgs/whale_97440/w_8600.jpg,w_8600.jpg,281.6029871423507,337.92358457082105,1553.5098124019682,788.4883639985821
17,"[{'class': 'Head', 'height': 811.9552795937782, 'type': 'rect', 'width': 994.9972212363059, 'x': 1595.7502604733208, 'y': 1600.44364359236}]",image,../imgs/whale_04397/w_9315.jpg,w_9315.jpg,811.9552795937782,994.9972212363059,1595.7502604733208,1600.44364359236
18,"[{'class': 'Head', 'height': 689.9273184987594, 'type': 'rect', 'width': 474.03169502295714, 'x': 1304.7605070928919, 'y': 544.4324418085448}]",image,../imgs/whale_10583/w_1316.jpg,w_1316.jpg,689.9273184987594,474.03169502295714,1304.7605070928919,544.4324418085448
19,"[{'class': 'Head', 'height': 539.7390586895056, 'type': 'rect', 'width': 520.9655262133488, 'x': 1365.7744876404013, 'y': 760.3280652843471}]",image,../imgs/whale_15079/w_7.jpg,w_7.jpg,539.7390586895056,520.9655262133488,1365.7744876404013,760.3280652843471
